year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",107.00,42.00,6.01,5.89,25.16,0.00,4.94,0.00,0.00,2531.00,335.00,491.00,1251.00,0.00,454.00
2024,12,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",138.00,14.00,2.44,0.25,6.47,0.00,4.84,5.00,1.00,1227.00,88.00,71.00,529.00,0.00,539.00
2024,12,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",30.00,2.00,1.00,0.75,0.25,0.00,0.00,0.00,1.00,394.00,217.00,132.00,45.00,0.00,0.00
2024,12,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1464.00,331.00,97.79,10.53,102.07,2.74,117.87,12.00,0.00,21485.00,6383.00,1458.00,3812.00,64.00,9768.00
2024,12,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",47.00,8.00,2.15,0.19,2.26,0.00,3.40,0.00,0.00,430.00,73.00,5.00,50.00,0.00,302.00
2024,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",2518.00,594.00,151.23,23.28,219.16,2.18,198.15,10.00,2.00,44858.00,15272.00,3736.00,8155.00,76.00,17619.00
2024,12,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",965.00,111.00,29.27,9.63,21.87,0.99,49.24,3.00,0.00,10064.00,1718.00,2385.00,711.00,73.00,5177.00
2024,12,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",47.00,6.00,0.94,1.04,1.38,0.00,2.64,0.00,0.00,303.00,35.00,17.00,67.00,0.00,184.00
2024,12,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",131.00,28.00,6.96,0.60,8.13,0.00,12.31,0.00,2.00,1978.00,1213.00,29.00,238.00,0.00,498.00
2024,12,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",858.00,273.00,55.18,2.46,156.89,3.37,55.09,6.00,1.00,17094.00,3404.00,249.00,8590.00,173.00,4678.00
2024,12,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",94.00,20.00,4.36,0.00,10.60,0.00,5.05,0.00,0.00,1609.00,397.00,0.00,736.00,0.00,476.00
2024,12,NK,Spirit Airlines,BNA,"Nashville, TN: Nashville International",187.00,40.00,11.81,0.08,19.87,0.63,7.62,2.00,0.00,2447.00,607.00,10.00,1208.00,25.00,597.00
2024,12,NK,Spirit Airlines,BOS,"Boston, MA: Logan International",520.00,120.00,23.52,1.10,58.87,0.80,35.71,10.00,1.00,9460.00,2113.00,65.00,4150.00,20.00,3112.00
2024,12,NK,Spirit Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",481.00,102.00,38.61,1.40,19.14,1.10,41.74,1.00,0.00,6568.00,2438.00,41.00,956.00,21.00,3112.00
2024,12,NK,Spirit Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",345.00,77.00,22.90,0.05,23.37,0.48,30.18,1.00,0.00,3996.00,1332.00,2.00,1117.00,16.00,1529.00
2024,12,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",772.00,198.00,39.50,0.90,106.02,0.10,51.48,3.00,6.00,15638.00,3593.00,70.00,7563.00,12.00,4400.00
2024,12,NK,Spirit Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",849.00,193.00,41.98,1.14,94.85,0.47,54.55,4.00,0.00,13158.00,3848.00,139.00,4940.00,15.00,4216.00
2024,12,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",864.00,236.00,42.45,4.52,154.36,0.69,33.97,9.00,3.00,16959.00,3467.00,446.00,10122.00,20.00,2904.00
2024,12,NK,Spirit Airlines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2067.00,519.00,139.63,9.25,219.26,6.99,143.86,5.00,1.00,35353.00,9941.00,754.00,12769.00,361.00,11528.00
2024,12,NK,Spirit Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",800.00,178.00,41.30,4.47,79.89,1.00,51.34,3.00,1.00,11829.00,3597.00,162.00,4098.00,29.00,3943.00
2024,12,NK,Spirit Airlines,LAS,"Las Vegas, NV: Harry Reid International",1758.00,285.00,83.60,2.51,113.89,3.42,81.57,7.00,1.00,20950.00,6238.00,167.00,7145.00,102.00,7298.00
2024,12,NK,Spirit Airlines,LAX,"Los Angeles, CA: Los Angeles International",864.00,137.00,50.27,3.11,48.94,0.47,34.22,4.00,2.00,8949.00,2954.00,361.00,2718.00,61.00,2855.00
2024,12,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",703.00,163.00,44.94,6.42,79.71,1.65,30.28,2.00,0.00,9989.00,2927.00,440.00,4416.00,48.00,2158.00
2024,12,NK,Spirit Airlines,MCO,"Orlando, FL: Orlando International",1412.00,253.00,68.97,3.31,107.01,2.01,71.69,6.00,0.00,19540.00,5696.00,284.00,7351.00,192.00,6017.00
